X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
393;KSZ.C;1100200;kasztanowiec czerwony;Aesculus carnea;D;kasztanowiec;;OS;BRZ;NA;L;NA;653;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
394;KSZ.D;1100600;kasztanowiec drobnokwiatowy;Aesculus parviflora;D;kasztanowiec;;OS;BRZ;NA;L;NA;654;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
395;KSZ.G;1100400;kasztanowiec gładki;Aesculus glabra;D;kasztanowiec;;OS;BRZ;NA;L;NA;655;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
396;KSZ.K;1100500;kasztanowiec krwisty;Aesculus pavia;D;kasztanowiec;;OS;BRZ;NA;L;NA;656;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
397;KSZ.Z;1100300;kasztanowiec zółty;Aesculus octandra;D;kasztanowiec;;OS;BRZ;NA;L;NA;657;BRZ;OS;;NA;10;15;4;OS;BRZ;BRZ;BRZ
398;KT;840100;kasztan jadalny;Castanea sativa;D;kasztan;;DB;DB;NA;L;NA;108;DB;DB;OS;50;NA;NA;4;DB;DB;DB;DB
399;KTP.B;1340200;katalpa bignoniowa;Catalpa bignonioides;D;katalpa;;;;NA;L;NA;658;;;;NA;10;15;4;;;;
400;KTP.O;1340400;katalpa okazała;Catalpa speciosa;D;katalpa;;;;NA;L;NA;659;;;;NA;10;15;4;;;;
401;KTP.P;1340300;katalpa pośrednia;Catalpa erubescens;D;katalpa;;;;NA;L;NA;660;;;;NA;10;15;4;;;;
402;KTP.Z;1340100;katalpa żołtokwiatowa;Catalpa ovata;D;katalpa;;;;NA;L;NA;661;;;;NA;10;15;4;;;;
